concept_name,cancer_type
Nodular lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of choroid,eye/ocular
Primary malignant neoplasm of parotid gland,salivary gland
Leukemia in remission,leukemia
Primary malignant neoplasm of spinal cord,brain
"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",bone
Primary malignant neoplasm of endocervix,cervical
Intrahepatic bile duct carcinoma,hepatobiliary
Primary malignant neoplasm of upper limb bones and scapula,bone
Disseminated malignancy of unknown primary,unknown
Lymphosarcoma,lymphoma/lymphoid
Primary malignant neoplasm of skin of lip,skin
Malignant melanoma of scalp and/or neck,skin
Malignant lymphoma of lymph nodes of multiple sites,lymphoma/lymphoid
Malignant melanoma of skin of eyelid,skin
"Acute promyelocytic leukemia, FAB M3, in remission",leukemia
Peripheral T-cell lymphoma (clinical),lymphoma/lymphoid
Primary malignant neoplasm of axillary tail of breast,breast
Primary malignant neoplasm of long bone of lower limb,bone
Acute leukemia in remission,leukemia
Chronic leukemia,leukemia
Kaposi's sarcoma (clinical),soft tissue sarcoma
Kaposi's sarcoma of skin,soft tissue sarcoma
Primary malignant neoplasm of appendix,appendiceal
Marginal zone lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of male breast,breast
Primary malignant neoplasm of upper limb,unknown
Squamous cell carcinoma of skin of trunk,skin
Malignant tumor of head and neck,head and neck
Follicular non-Hodgkin's lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of central portion of female breast,breast
Malignant neoplasm of lateral wall of urinary bladder,urinary tract/bladder
Malignant melanoma of ear and/or external auditory canal,skin
Primary malignant neoplasm of soft tissues of pelvis,soft tissue sarcoma
Primary malignant neoplasm of cecum,colon/rectal
Primary malignant neoplasm of base of tongue,head and neck
Primary malignant neoplasm of hypopharynx,head and neck
Primary malignant neoplasm of pineal gland,brain
Primary malignant neoplasm of retromolar area,head and neck
Malignant neoplasm of connective and soft tissue of upper limb and shoulder,soft tissue sarcoma
Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb,lymphoma/lymphoid
Malignant neoplasm of connective and soft tissue of hip and lower limb,soft tissue sarcoma
Primary malignant neoplasm of small intestine,small intestine
Malignant neoplasm of skeletal system,bone
Basal cell carcinoma of ear,skin
Primary malignant neoplasm of splenic flexure of colon,colon/rectal
Primary malignant neoplasm of lower limb,unknown
Plasmacytoma,multiple myeloma
Basal cell carcinoma of eyelid,skin
Malignant melanoma of upper limb,skin
Primary malignant neoplasm of anal canal,anal
Primary malignant neoplasm of cranial nerve,brain
Basal cell carcinoma of upper extremity,skin
Primary malignant neoplasm of skin of eyelid,skin
Malignant neoplasm of pituitary gland and craniopharyngeal duct,pituitary
Primary malignant neoplasm of skin head and neck,skin
